2017-12-09 18:55:12 status half-installed libaudit1:armhf 1:2.6.7-2
2017-12-09 18:55:12 status unpacked libaudit1:armhf 1:2.6.7-2
2017-12-09 18:55:12 status unpacked libaudit1:armhf 1:2.6.7-2
2017-12-09 18:55:12 upgrade base-files:armhf 9.9+deb9u3 9.9+deb9u3
2017-12-09 18:55:12 status half-configured base-files:armhf 9.9+deb9u3
2017-12-09 18:55:12 status unpacked base-files:armhf 9.9+deb9u3
2017-12-09 18:55:12 status half-installed base-files:armhf 9.9+deb9u3
2017-12-09 18:55:13 status half-installed base-files:armhf 9.9+deb9u3
2017-12-09 18:55:13 status unpacked base-files:armhf 9.9+deb9u3
2017-12-09 18:55:13 status unpacked base-files:armhf 9.9+deb9u3
2017-12-09 18:55:13 upgrade base-passwd:armhf 3.5.43 3.5.43
2017-12-09 18:55:13 status half-configured base-passwd:armhf 3.5.43
2017-12-09 18:55:13 status unpacked base-passwd:armhf 3.5.43
2017-12-09 18:55:13 status half-installed base-passwd:armhf 3.5.43
2017-12-09 18:55:13 status half-installed base-passwd:armhf 3.5.43
2017-12-09 18:55:13 status unpacked base-passwd:armhf 3.5.43
2017-12-09 18:55:13 status unpacked base-passwd:armhf 3.5.43
2017-12-09 18:55:14 install bash:armhf <none> 4.4-5
2017-12-09 18:55:14 status half-installed bash:armhf 4.4-5
2017-12-09 18:55:14 status unpacked bash:armhf 4.4-5
2017-12-09 18:55:14 status unpacked bash:armhf 4.4-5
2017-12-09 18:55:15 install libbz2-1.0:armhf <none> 1.0.6-8.1
2017-12-09 18:55:15 status half-installed libbz2-1.0:armhf 1.0.6-8.1
2017-12-09 18:55:15 status unpacked libbz2-1.0:armhf 1.0.6-8.1
2017-12-09 18:55:15 status unpacked libbz2-1.0:armhf 1.0.6-8.1
2017-12-09 18:55:15 install libdebconfclient0:armhf <none> 0.227
2017-12-09 18:55:15 status half-installed libdebconfclient0:armhf 0.227
2017-12-09 18:55:15 status unpacked libdebconfclient0:armhf 0.227
2017-12-09 18:55:15 status unpacked libdebconfclient0:armhf 0.227
2017-12-09 18:55:16 install coreutils:armhf <none> 8.26-3
2017-12-09 18:55:16 status half-installed coreutils:armhf 8.26-3
2017-12-09 18:55:17 status unpacked coreutils:armhf 8.26-3
2017-12-09 18:55:17 status unpacked coreutils:armhf 8.26-3
2017-12-09 18:55:17 install dash:armhf <none> 0.5.8-2.4
2017-12-09 18:55:17 status half-installed dash:armhf 0.5.8-2.4
2017-12-09 18:55:18 status unpacked dash:armhf 0.5.8-2.4
2017-12-09 18:55:18 status unpacked dash:armhf 0.5.8-2.4
2017-12-09 18:55:18 install libdb5.3:armhf <none> 5.3.28-12+deb9u1
2017-12-09 18:55:18 status half-installed libdb5.3:armhf 5.3.28-12+deb9u1
2017-12-09 18:55:18 status unpacked libdb5.3:armhf 5.3.28-12+deb9u1
2017-12-09 18:55:19 status unpacked libdb5.3:armhf 5.3.28-12+deb9u1
2017-12-09 18:55:19 upgrade debconf:all 1.5.61 1.5.61
2017-12-09 18:55:19 status half-configured debconf:all 1.5.61
2017-12-09 18:55:19 status unpacked debconf:all 1.5.61
2017-12-09 18:55:19 status half-installed debconf:all 1.5.61
2017-12-09 18:55:19 status half-installed debconf:all 1.5.61
2017-12-09 18:55:19 status unpacked debconf:all 1.5.61
2017-12-09 18:55:20 status unpacked debconf:all 1.5.61
2017-12-09 18:55:20 install debianutils:armhf <none> 4.8.1.1
2017-12-09 18:55:20 status half-installed debianutils:armhf 4.8.1.1
2017-12-09 18:55:20 status unpacked debianutils:armhf 4.8.1.1
2017-12-09 18:55:20 status unpacked debianutils:armhf 4.8.1.1
2017-12-09 18:55:20 install diffutils:armhf <none> 1:3.5-3
2017-12-09 18:55:20 status half-installed diffutils:armhf 1:3.5-3
2017-12-09 18:55:21 status unpacked diffutils:armhf 1:3.5-3
2017-12-09 18:55:21 status unpacked diffutils:armhf 1:3.5-3
2017-12-09 18:55:21 upgrade dpkg:armhf 1.18.24 1.18.24
2017-12-09 18:55:21 status half-configured dpkg:armhf 1.18.24
2017-12-09 18:55:21 status unpacked dpkg:armhf 1.18.24
2017-12-09 18:55:21 status half-installed dpkg:armhf 1.18.24
2017-12-09 18:55:22 status half-installed dpkg:armhf 1.18.24
